long_name,overall,potential,height_cm,weight_kg,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,cf,cm,cb,gk,AttackWorkRate,DefenseWorkRate,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,preferred_foot_Left,preferred_foot_Right,tag_Acrobat,tag_Aerial Threat,tag_Clinical Finisher,tag_Complete Defender,tag_Complete Forward,tag_Complete Midfielder,tag_Crosser,tag_Distance Shooter,tag_Dribbler,tag_Engine,tag_FK Specialist,tag_Playmaker,tag_Poacher,tag_Speedster,tag_Strength,tag_Tackling,tag_Tactician,traits_Cautious With Crosses,traits_Chip Shot (AI),traits_Comes For Crosses,traits_Dives Into Tackles (AI),traits_Early Crosser,traits_Finesse Shot,traits_Flair,traits_GK Long Throw,traits_Giant Throw-in,traits_Injury Prone,traits_Leadership,traits_Long Passer (AI),traits_Long Shot Taker (AI),traits_Long Throw-in,traits_Outside Foot Shot,traits_Playmaker (AI),traits_Power Free-Kick,traits_Power Header,traits_Rushes Out Of Goal,traits_Saves with Feet,traits_Solid Player,traits_Speed Dribbler (AI),traits_Team Player,traits_Technical Dribbler (AI)
Samantha June Mewis,83,83,177,63,4,4,60.0,77.0,78.0,78.0,76.0,84.0,66,75,77,86,63,79,64,57,83,86,59,61,59,82,58,81,89,83,89,80,71,79,79,83,76,83.0,76,78,67,12,17,17,15,12,0.0,79,83,81,25,1.0,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katie Stengel,77,77,175,67,2,3,72.0,78.0,61.0,75.0,32.0,75.0,39,82,70,79,71,78,48,56,54,80,74,71,53,79,70,73,66,67,85,73,60,21,79,63,78,63.0,38,22,24,13,6,7,14,14,0.0,77,69,50,21,1.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristen Anne Mewis,80,80,168,64,3,4,85.0,71.0,76.0,79.0,49.0,79.0,67,73,71,79,43,79,68,68,77,83,88,82,82,75,60,68,79,86,73,74,83,47,82,83,75,81.0,48,46,45,17,7,12,13,16,0.0,79,79,62,22,0.5,0.5,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Melanie Leupolz,80,80,172,62,3,4,84.0,76.0,77.0,82.0,73.0,68.0,69,76,58,83,65,86,80,55,79,81,86,82,82,75,65,77,71,73,69,75,59,76,82,80,71,80.0,75,76,66,15,15,11,12,8,0.0,80,80,75,22,0.5,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Stephanie Jayne Houghton Darby,80,80,174,62,3,2,62.0,50.0,64.0,64.0,81.0,78.0,50,37,80,76,45,58,71,60,74,72,55,67,53,77,61,81,88,65,83,49,80,80,42,50,60,84.0,84,80,78,11,9,15,12,7,0.0,60,69,80,20,0.5,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Christine Margaret Sinclair,84,84,175,67,4,4,68.0,86.0,83.0,82.0,44.0,82.0,77,84,74,86,87,85,78,76,84,88,67,68,57,79,62,90,88,77,90,87,67,49,89,87,86,93.0,42,35,34,17,9,7,12,8,0.0,84,84,61,22,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
王霜,79,80,165,59,4,3,85.0,78.0,71.0,78.0,42.0,69.0,68,78,77,76,77,74,73,69,67,82,83,86,90,79,79,79,58,69,75,80,57,40,79,67,75,67.0,38,36,37,15,16,7,17,11,0.0,78,74,57,24,0.5,0.5,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kathrin-Julia Hendrich,84,84,173,55,3,2,81.0,39.0,70.0,72.0,86.0,78.0,62,31,83,85,30,66,70,36,75,80,77,84,69,87,61,62,79,87,72,27,82,86,59,54,56,72.0,89,86,84,13,10,13,9,9,0.0,66,76,84,22,0.5,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
张睿,74,74,172,62,5,3,81.0,74.0,76.0,72.0,68.0,77.0,76,69,52,75,69,70,76,78,73,73,83,80,75,75,72,84,47,77,79,73,81,72,80,77,73,79.0,68,75,55,12,8,9,14,9,0.0,74,74,71,20,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
王珊珊,79,79,169,57,4,4,80.0,78.0,78.0,78.0,59.0,74.0,77,82,80,80,70,78,76,78,75,79,82,79,77,80,70,76,72,71,75,73,75,65,79,80,71,83.0,45,61,58,15,15,16,9,10,0.0,79,79,69,22,0.5,0.5,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
吴海燕,79,79,166,58,4,2,75.0,54.0,70.0,70.0,79.0,78.0,70,54,79,78,43,64,61,59,69,74,76,75,75,78,76,65,79,77,78,40,79,79,64,64,63,74.0,80,78,80,7,14,15,13,9,0.0,67,73,79,20,0.0,1.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
李佳悦,71,71,170,58,3,2,67.0,43.0,56.0,61.0,71.0,71.0,68,35,72,69,35,52,47,30,51,70,64,69,71,70,56,54,70,68,71,46,77,72,50,36,52,58.0,73,70,68,7,8,13,8,9,0.0,56,61,71,17,1.0,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
娄佳惠,74,74,164,55,2,3,72.0,66.0,70.0,72.0,69.0,70.0,68,69,70,74,36,73,45,46,72,71,72,72,72,76,76,70,71,78,67,62,65,74,75,75,50,70.0,62,71,72,12,7,7,13,13,0.0,72,74,72,20,1.0,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
张馨,79,79,170,60,4,3,77.0,62.0,77.0,75.0,47.0,56.0,79,79,40,78,34,78,73,67,77,79,75,78,67,77,50,40,47,74,52,48,46,50,78,77,60,61.0,42,55,38,6,9,9,14,14,0.0,74,76,54,20,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
唐佳丽,70,71,166,52,3,4,70.0,68.0,63.0,77.0,25.0,56.0,78,60,59,67,73,78,73,60,45,76,70,70,76,77,72,75,48,41,59,76,68,21,78,55,59,72.0,20,23,23,8,15,15,10,17,0.0,71,62,43,22,0.5,0.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宋端,70,71,168,54,2,3,72.0,69.0,61.0,70.0,69.0,63.0,38,76,61,72,42,71,49,54,70,75,70,73,56,68,74,60,70,74,57,70,60,66,64,65,61,54.0,72,73,60,8,10,16,15,12,0.0,70,71,69,20,0.5,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eva Sofia Jakobsson,83,83,174,62,3,3,86.0,80.0,78.0,80.0,54.0,70.0,84,85,69,81,81,83,76,58,76,84,85,87,67,76,57,72,46,86,71,75,54,58,83,75,74,77.0,63,40,41,9,10,10,7,10,0.0,81,80,62,19,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sara Caroline Seger,83,83,176,62,3,4,49.0,77.0,81.0,78.0,82.0,77.0,68,77,86,89,73,79,67,64,89,82,47,51,69,84,56,81,60,77,77,77,80,84,77,84,69,87.0,82,79,80,15,8,14,17,12,0.0,78,83,83,24,0.5,0.5,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rut Hedvig Lindahl,84,84,179,74,3,1,0.0,0.0,0.0,0.0,0.0,0.0,18,16,14,23,14,17,13,17,16,20,47,44,36,84,68,60,72,44,57,15,24,24,17,60,25,70.0,29,17,16,85,75,80,85,86,46.0,32,34,33,84,0.5,0.5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amanda Ilestedt,84,85,178,65,3,2,71.0,43.0,65.0,63.0,87.0,78.0,58,43,85,82,35,60,51,52,70,74,64,77,37,79,43,51,90,72,78,36,83,85,37,46,58,79.0,88,89,86,15,9,9,7,14,0.0,60,69,85,21,0.5,0.5,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivia Alma Charlotta Schough,77,77,172,60,3,4,84.0,75.0,72.0,77.0,41.0,73.0,78,78,70,72,70,79,74,54,65,80,84,84,70,71,61,76,73,79,78,72,52,28,71,76,74,75.0,44,39,37,13,15,12,10,11,0.0,76,72,55,21,0.5,0.5,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovare Asllani,84,84,166,58,4,4,79.0,80.0,80.0,87.0,46.0,55.0,72,80,62,84,85,89,81,78,78,87,80,79,88,80,89,77,67,71,50,78,44,45,82,84,88,77.0,66,28,30,12,12,7,11,12,0.0,83,81,55,22,0.5,0.5,0,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Elin Ingrid Johanna Rubensson,76,76,166,60,3,3,85.0,65.0,72.0,78.0,76.0,67.0,70,77,64,76,50,76,63,57,75,78,83,87,87,74,89,47,81,79,56,53,77,72,73,73,86,78.0,80,78,79,15,12,10,8,9,0.0,74,76,76,20,0.5,1.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linda Birgitta Sembrant,83,83,175,67,4,2,73.0,33.0,62.0,75.0,84.0,80.0,28,32,85,89,24,72,23,46,82,84,73,73,64,84,58,37,64,87,78,27,82,82,35,47,55,73.0,85,84,83,14,15,15,8,15,0.0,62,76,83,24,0.5,0.5,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magdalena Lilly Eriksson,84,84,173,66,3,2,69.0,46.0,72.0,70.0,85.0,79.0,73,40,89,80,47,59,61,52,79,80,70,69,72,86,74,56,88,77,78,44,84,80,58,57,56,84.0,90,85,80,7,17,12,10,9,0.0,65,75,84,22,0.5,1.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lina Mona Andréa Hurtig,80,80,180,69,3,4,78.0,80.0,76.0,78.0,48.0,75.0,78,83,82,84,73,78,69,56,68,85,78,78,71,80,65,79,76,76,85,78,50,32,81,73,68,62.0,45,52,44,9,10,8,8,16,0.0,80,78,62,21,0.5,1.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fridolina Rolfö,86,86,178,65,4,4,84.0,85.0,82.0,86.0,67.0,79.0,81,87,79,88,81,87,74,63,75,89,84,84,77,86,73,85,80,80,90,84,50,65,84,86,77,81.0,65,66,65,7,11,16,14,9,0.0,86,86,75,22,1.0,1.0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
岩渕 真奈,76,76,156,52,3,3,89.0,72.0,68.0,81.0,40.0,45.0,32,69,48,79,73,80,56,53,79,78,88,89,88,76,90,77,52,77,38,75,22,51,84,81,61,85.0,15,55,36,7,13,11,14,13,0.0,76,76,48,21,0.5,0.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emilie Bosshard Haavi,82,82,164,59,4,3,88.0,76.0,79.0,82.0,64.0,70.0,86,77,71,79,72,81,82,71,76,80,88,88,92,78,92,76,85,86,62,76,64,65,78,75,71,84.0,58,66,63,11,15,14,8,8,0.0,79,79,69,20,1.0,1.0,0,0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
